episode,reward,avg reward,tiles,avg tiles,epsilon
0,-56.678700361011735,-56.678700361011735,11,11.0,1.0
1,-55.71955719557284,-56.19912877829229,11,11.0,1.0
2,-53.40501792114785,-55.26775849257748,12,11.333333333333334,1.0
3,-57.74647887324031,-55.88743858774318,11,11.25,1.0
4,-56.204379562044664,-55.950826782603485,11,11.2,1.0
5,-63.21070234113804,-57.16080604235924,10,11.0,1.0
6,-62.02531645569705,-57.8557361014075,11,11.0,1.0
7,-60.0000000000009,-58.12376908873168,12,11.125,1.0
8,-54.385964912281544,-57.70845751357055,12,11.222222222222221,1.0
9,-49.45848375451333,-56.88346013766483,13,11.4,1.0
10,-46.360153256705736,-55.92679587575946,13,11.545454545454545,1.0
11,-51.3108614232217,-55.54213467138131,12,11.583333333333334,1.0
12,-51.890034364261886,-55.26120387852597,13,11.692307692307692,1.0
13,-58.06451612903307,-55.46144046784791,12,11.714285714285714,1.0
14,-56.36363636363722,-55.52158686090052,11,11.666666666666666,1.0
15,-54.70383275261405,-55.47047722913262,12,11.6875,1.0
16,-57.70392749244804,-55.601856656386474,13,11.764705882352942,1.0
17,-56.678700361011735,-55.66168130664343,11,11.722222222222221,1.0
18,-55.22388059701574,-55.63863916403144,11,11.68421052631579,1.0
19,-53.73665480427126,-55.543539946043424,12,11.7,1.0
20,-49.640287769784955,-55.26243269955493,13,11.761904761904763,0.950125
21,-60.65573770491886,-55.50758292707147,11,11.727272727272727,0.94775
22,-49.21875000000072,-55.23415540850318,12,11.73913043478261,0.945375
23,-54.38596491228147,-55.19881413782728,12,11.75,0.9430000000000001
24,-44.44444444444527,-54.768639350092,12,11.76,0.940625
25,-62.145110410095484,-55.05234977547674,11,11.73076923076923,0.93825
26,-65.21739130434837,-55.42883279506459,11,11.703703703703704,0.935875
27,-60.39603960396135,-55.606233038239466,11,11.678571428571429,0.9335
28,-58.33333333333421,-55.70027097944963,11,11.655172413793103,0.931125
29,-60.4316546762599,-55.857983769343306,10,11.6,0.92875
30,-54.37262357414521,-55.81006892433692,11,11.580645161290322,0.926375
31,-55.631399317407016,-55.80448549912036,12,11.59375,0.924
32,-63.93442622950911,-56.05084733943517,10,11.545454545454545,0.921625
33,-62.83783783783882,-56.250464707035285,10,11.5,0.91925
34,-50.943396226415906,-56.09883417901759,12,11.514285714285714,0.916875
35,-57.79220779220869,-56.14587233493956,12,11.527777777777779,0.9145
36,-59.595959595960466,-56.23911793658878,11,11.513513513513514,0.912125
37,-56.043956043956996,-56.233982097308996,11,11.5,0.9097500000000001
38,-51.219512195122846,-56.10540594597089,13,11.538461538461538,0.907375
39,-53.795379537954695,-56.047655285770475,13,11.575,0.905
40,-47.735191637631424,-55.84491226996221,14,11.634146341463415,0.902625
41,-52.38095238095322,-55.76243703450961,12,11.642857142857142,0.90025
42,-62.19931271477755,-55.91213181777166,10,11.604651162790697,0.897875
43,-60.14492753623281,-56.00833172046396,10,11.568181818181818,0.8955
44,-56.228956228956996,-56.01323448731936,12,11.577777777777778,0.8931250000000001
45,-72.69624573378854,-56.3759086448513,7,11.478260869565217,0.89075
46,-56.20437956204473,-56.372259089897966,11,11.46808510638298,0.888375
47,-54.3726235741454,-56.330600016653115,11,11.458333333333334,0.886
48,-59.62732919254748,-56.39788020391627,12,11.46938775510204,0.883625
49,-63.33333333333409,-56.53658926650463,10,11.44,0.88125
50,-61.93771626297669,-56.64249371741584,10,11.411764705882353,0.8788750000000001
51,-55.017301038063096,-56.61124001204367,12,11.423076923076923,0.8765000000000001
52,-56.810631229236925,-56.615002110481285,12,11.433962264150944,0.874125
53,-57.89473684210614,-56.638700901807674,11,11.425925925925926,0.87175
54,-56.79012345679099,-56.64145403917101,13,11.454545454545455,0.869375
55,-67.10526315789545,-56.82830777343394,9,11.410714285714286,0.867
56,-58.17490494296669,-56.85193228518013,10,11.385964912280702,0.864625
57,-52.70270270270361,-56.780393844102946,13,11.413793103448276,0.86225
58,-55.69620253164639,-56.76201772016301,13,11.440677966101696,0.8598750000000001
59,-33.579335793358524,-56.375639688049596,17,11.533333333333333,0.8575
60,-52.20588235294185,-56.30728301042488,12,11.540983606557377,0.855125
61,-50.310559006212124,-56.21056165551823,15,11.596774193548388,0.85275
