episode,reward,avg reward,tiles,avg tiles,completed,avg completed,epsilon
0,-64.78746020801309,-64.78746020801309,9,9.0,,,1.0
1,-16.278507152149764,-40.53298368008143,14,11.5,,,1.0
2,-94.59420804469465,-58.55339180161917,8,10.333333333333334,,,1.0
3,-47.03460705604578,-55.673695615225824,13,11.0,,,1.0
4,-57.47196291836462,-56.033349075853586,10,10.8,,,1.0
5,-30.287787540599336,-51.7424221533112,12,11.0,,,1.0
6,-60.21121207596815,-52.95224928511934,10,10.857142857142858,,,1.0
7,-66.01462288359113,-54.585045984928314,10,10.75,,,1.0
8,-16.684435190416874,-50.373867007760374,13,11.0,,,1.0
9,-62.839074388236924,-51.62038774580803,10,10.9,,,1.0
10,-62.43882430119087,-52.60388197811556,11,10.909090909090908,,,1.0
11,-27.629814858721524,-50.522709718166055,11,10.916666666666666,,,1.0
12,-38.46184186551186,-49.59495065257727,12,11.0,,,1.0
13,-61.71700535534627,-50.460811702775054,9,10.857142857142858,,,1.0
14,-52.199450962352245,-50.576720986746864,8,10.666666666666666,,,1.0
15,-45.709641970899575,-50.27252854825642,11,10.6875,,,1.0
16,-91.85442217428961,-52.71852229096425,7,10.470588235294118,,,1.0
17,-64.88220788879963,-53.394282601955105,10,10.444444444444445,,,1.0
18,-17.96382873773125,-51.52952187225911,13,10.578947368421053,,,1.0
19,-62.06981476025062,-52.05653651665868,11,10.6,,,1.0
20,-45.77187125228975,-51.75726674216492,12,10.666666666666666,,,0.967358
21,-22.638249489856197,-50.433675048878165,10,10.636363636363637,,,0.9657746666666667
22,-35.25479497749258,-49.773723741426615,12,10.695652173913043,,,0.9641913333333333
23,-52.37374230487779,-49.88205784823708,10,10.666666666666666,,,0.962608
24,-35.1344147458708,-49.29215212414243,11,10.68,,,0.9610246666666666
25,-31.857161866399473,-48.62157557576771,11,10.692307692307692,,,0.9594413333333334
26,-52.47944757045789,-48.7644597237192,25,11.222222222222221,,,0.957858
27,-16.758584471261806,-47.62139275041715,12,11.25,,,0.9562746666666667
28,-68.98895474753311,-48.358205233076326,10,11.206896551724139,,,0.9546913333333333
29,-20.264075984693562,-47.42173425813023,11,11.2,,,0.953108
30,-40.69275218112101,-47.204670320162194,12,11.225806451612904,,,0.9515246666666667
31,-39.44913035701567,-46.96230969631386,11,11.21875,,,0.9499413333333333
32,-75.56643601868868,-47.82910140305249,9,11.151515151515152,,,0.9486936666666667
33,-57.0990647877045,-48.10174738495402,12,11.176470588235293,,,0.9471103333333333
34,-64.97675334725724,-48.5838904124484,11,11.17142857142857,,,0.945527
35,-18.193015114353067,-47.73969943194575,12,11.194444444444445,,,0.9439436666666666
36,-13.291284952057335,-46.80866120275957,15,11.297297297297296,,,0.9423603333333334
37,-54.96787851773125,-47.023377447890404,12,11.31578947368421,,,0.940777
38,-37.167827751629126,-46.77067104542217,11,11.307692307692308,,,0.9391936666666667
39,-54.376242415087745,-46.96081032966381,14,11.375,,,0.9376103333333333
40,-53.01333314549726,-47.10843283736706,15,11.463414634146341,,,0.9360269999999999
41,-44.44556761526001,-47.04503128445975,13,11.5,,,0.9344436666666667
42,-36.65355033893457,-46.8033689368894,14,11.55813953488372,,,0.9328603333333333
43,-15.109690673461648,-46.083058067266045,14,11.613636363636363,,,0.931277
44,-65.28448943149169,-46.50975654202661,11,11.6,,,0.9296936666666666
45,-69.66894175701977,-47.013217090178635,11,11.58695652173913,,,0.9281103333333334
46,-39.67474224423716,-46.85707932749903,15,11.659574468085106,,,0.926527
47,-40.847932171574705,-46.73188876175061,11,11.645833333333334,,,0.9249436666666666
48,-26.769308374432377,-46.32448916200943,13,11.673469387755102,,,0.9233603333333333
49,-34.3983928646264,-46.08596723606176,10,11.64,,,0.921777
50,-48.22395865277569,-46.127888636389486,13,11.666666666666666,,,0.9201936666666667
51,-60.803942190789606,-46.41012043551257,13,11.692307692307692,,,0.9186103333333333
52,-36.5021686762116,-46.22317794948802,13,11.716981132075471,,,0.917027
53,-32.819743850868,-45.97496620692098,12,11.722222222222221,,,0.9154436666666667
54,-68.23017272295962,-46.37960632539441,11,11.709090909090909,,,0.9140503333333333
55,-55.77388036454492,-46.54736121895066,17,11.803571428571429,,,0.912467
56,-65.912559834934,-46.88710154554687,12,11.807017543859649,,,0.9108836666666666
57,-64.07446596940164,-47.18343541492367,14,11.844827586206897,,,0.9093003333333334
58,-59.466231904736986,-47.39161840627644,9,11.796610169491526,,,0.907717
59,-41.240731557833506,-47.28910362546905,16,11.866666666666667,,,0.9061336666666666
60,-10.718992885226967,-46.68959361333394,17,11.950819672131148,,,0.9045503333333333
61,-34.39598598902937,-46.49130961939355,12,11.951612903225806,,,0.902967
62,-40.458502917197045,-46.39555078285075,15,12.0,,,0.9013836666666667
63,-67.18067166545715,-46.720318296641466,12,12.0,,,0.8998003333333333
64,-17.634571109968565,-46.27284526300034,12,12.0,,,0.898217
65,-52.24731515042173,-46.36336753402188,14,12.030303030303031,,,0.8966336666666667
66,-63.71665894213607,-46.622371883396724,11,12.014925373134329,,,0.8950503333333333
67,-36.77092685250208,-46.47749769176592,14,12.044117647058824,,,0.8939578333333333
68,-41.77787039803618,-46.40938715127709,14,12.072463768115941,,,0.8923745
69,-16.563912544109442,-45.98302322831754,13,12.085714285714285,,,0.8907911666666667
70,-52.93359226899072,-46.08091856691858,12,12.084507042253522,,,0.8892078333333333
71,-69.8823632377222,-46.411494187346406,9,12.041666666666666,,,0.8881216666666667
72,-47.019025631465766,-46.41981653589599,16,12.095890410958905,,,0.8865383333333333
73,-68.94156949027513,-46.724164548793006,12,12.094594594594595,,,0.884955
74,-49.141182259427154,-46.75639145160146,12,12.093333333333334,,,0.8833716666666667
75,-63.333348826802315,-46.97450931180147,11,12.078947368421053,,,0.8817883333333333
76,-59.5964993032599,-47.13843125974249,12,12.077922077922079,,,0.880205
77,-50.296232636380715,-47.17891589277632,13,12.08974358974359,,,0.8786216666666666
78,-58.8260776729259,-47.32634832037314,14,12.113924050632912,,,0.8770383333333334
79,-43.51777684548215,-47.278741176937004,12,12.1125,,,0.875455
80,-40.19897253798766,-47.19133662583886,10,12.08641975308642,,,0.8738716666666666
81,-53.91390953250545,-47.27331922226162,6,12.012195121951219,,,0.8730530833333333
82,-91.25371008166236,-47.80320344948332,12,12.012048192771084,,,0.8714697499999999
83,-80.90487859619552,-48.1972710107537,12,12.011904761904763,,,0.8698864166666667
84,-28.348313268724365,-47.963753860847476,14,12.035294117647059,,,0.8683030833333334
85,-29.983916851622062,-47.754685988647175,12,12.034883720930232,,,0.86671975
86,-75.70941803269854,-48.076004747774206,13,12.045977011494253,,,0.8654689166666667
87,-70.95945753248965,-48.33604398396415,14,12.068181818181818,,,0.8638855833333333
88,-48.25096824579178,-48.33508807679368,15,12.101123595505618,,,0.8623022499999999
89,-13.61508643068974,-47.94931028072587,15,12.133333333333333,,,0.8607189166666667
90,-63.391419671735875,-48.11900379051718,12,12.131868131868131,,,0.8591355833333334
91,-65.93501328412636,-48.31265606762163,12,12.130434782608695,,,0.85755225
92,-45.79713532775916,-48.28560745751558,11,12.118279569892474,,,0.8559689166666666
93,-63.245972294452294,-48.444760274929806,12,12.117021276595745,,,0.8543855833333334
94,-34.39951536042118,-48.29691559161918,6,12.052631578947368,,,0.8538868333333334
95,-14.872965962468179,-47.94874944964886,16,12.09375,,,0.8523035
96,-62.906645755765396,-48.10295456620676,10,12.072164948453608,,,0.8507201666666666
97,-39.01310436204431,-48.0102009926949,13,12.081632653061224,,,0.8491368333333333
98,-62.06506112504492,-48.15216927686005,10,12.06060606060606,,,0.8475535
99,-69.10044258322066,-48.36165200992365,14,12.08,,,0.8459701666666667
100,-39.79685559398989,-48.11174596378341,9,12.08,,,0.8453415833333333
101,-46.05581560751776,-48.4095190483371,12,12.06,,,0.84375825
102,-52.39150188161824,-47.98749198670634,9,12.07,,,0.8421749166666667
103,-54.63700652027175,-48.063515981348594,12,12.06,,,0.8405915833333333
104,-41.45838889430413,-47.90338024110799,10,12.06,,,0.83900825
105,-64.28638710259698,-48.24336623672796,10,12.04,,,0.8374249166666666
106,-48.97760478847093,-48.13103016385299,15,12.09,,,0.8358415833333334
107,-54.586153495709524,-48.016745469974175,7,12.06,,,0.8350736666666667
108,-62.2575929513413,-48.47247704758342,8,12.01,,,0.8334903333333333
109,-57.42226963719564,-48.418309000073016,10,12.01,,,0.831907
110,-46.81832161525306,-48.26210397321363,16,12.06,,,0.8303236666666667
111,-69.300613486664,-48.67881195949305,9,12.04,,,0.8287403333333333
112,-78.80000000000038,-49.082193540837935,5,11.97,,,0.8278172500000001
113,-32.15862097069528,-48.786609696991434,16,12.04,,,0.8262339166666667
114,-113.89999999999914,-49.403615187367905,9,12.05,,,0.82469175
115,-55.97093236576063,-49.506228091316515,15,12.09,,,0.8231084166666667
116,-46.815808715815315,-49.055841956731776,11,12.13,,,0.82170875
117,-36.637075361558544,-48.77339063145935,11,12.14,,,0.820469
118,-48.72430067403524,-49.080995350822405,6,12.07,,,0.81982775
119,-35.21778933474837,-48.812475096567375,7,12.03,,,0.8190788333333333
